Country,State,Dist Code,District,Year,Yield,Avg_Season_Tmax,Total_Season_Rain,Sowing_Rainfall,Terminal_Heat_Tmax,Temperature_Anomaly,Rainfall_Deviation,Yield_Lag2,Yield_Rolling_Mean3,Yield_Rolling_Std3,Avg_Season_Tmax_Anomaly,Total_Season_Rain_Anomaly,Sowing_Rainfall_Anomaly,Terminal_Heat_Tmax_Anomaly,Temperature_Anomaly_Anomaly,Rainfall_Deviation_Anomaly,Terminal_vs_AvgTemp,SowingRain_to_TotalRain,Rain_per_Temp
India,Madhya Pradesh,7,Jabalpur,1995,1219.02,28.498342541436468,87.69999999999999,0.3,33.71967213114754,-0.958354012274313,31.019148936170204,1534.35,1219.02,0.0,-0.9817174058226179,25.247826086956508,-25.982608695652175,-1.6404133998574508,-0.981717405822615,25.247826086956508,5.221329589711072,0.003382187147688839,3.0773718434716937
India,Madhya Pradesh,7,Jabalpur,1996,1154.65,29.59230769230769,62.1,12.9,35.7967213114754,0.1356111385969072,5.419148936170217,1534.35,1186.835,45.516463504977985,0.11224774504860235,-0.35217391304347956,-13.382608695652175,0.43663578047041085,0.1122477450486053,-0.35217391304348045,6.204413619167713,0.20443740095087162,2.098518255053971
India,Madhya Pradesh,7,Jabalpur,1997,910.12,28.898342541436467,15.7,5.8,34.27213114754099,-0.5583540122743145,-40.98085106382979,1219.02,1094.5966666666666,162.97117730854544,-0.5817174058226193,-46.75217391304348,-20.482608695652175,-1.0879543834640018,-0.5817174058226164,-46.752173913043485,5.373788606104522,0.3473053892215569,0.5432837344980774
India,Madhya Pradesh,7,Jabalpur,1998,732.53,26.983425414364643,283.5,272.7,34.00983606557378,-2.473271139346138,226.81914893617025,1154.65,932.4333333333334,211.9427687686783,-2.4966345328944435,221.04782608695652,246.4173913043478,-1.3502494654312116,-2.49663453289444,221.04782608695655,7.026410651209137,0.9585237258347978,10.506449242082859
India,Madhya Pradesh,7,Jabalpur,1999,1344.3,29.21160220994476,101.5,41.900000000000006,36.60000000000001,-0.2450943437660235,44.819148936170215,910.12,995.65,314.72554535658526,-0.2684577373143249,39.04782608695652,15.61739130434783,1.2399144689950177,-0.26845773731432543,39.04782608695652,7.388397790055247,0.4087804878048781,3.4746466762031556
India,Madhya Pradesh,7,Jabalpur,2000,1269.6,29.00934065934066,1.1,0.0,35.71803278688524,-0.4473558943701228,-55.58085106382978,732.53,1115.4766666666667,333.7381228348557,-0.47071928791842765,-61.35217391304348,-26.282608695652176,0.3579472558802479,-0.4707192879184247,-61.35217391304348,6.70869212754458,0.0,0.03791881983801633
India,Madhya Pradesh,7,Jabalpur,2001,1385.92,30.240331491712706,21.9,10.7,35.20819672131148,0.7836349380019243,-34.780851063829786,1344.3,1333.2733333333333,58.938748997014535,0.7602715444536194,-40.55217391304348,-15.582608695652176,-0.15188880969351004,0.7602715444536223,-40.55217391304348,4.967865229598775,0.4672489082969432,0.7241983865753342
India,Madhya Pradesh,7,Jabalpur,2002,1141.71,29.92154696132596,27.3,0.0,36.19672131147541,0.4648504076151774,-29.380851063829784,1269.6,1265.7433333333333,122.15067103103902,0.4414870140668725,-35.152173913043484,-26.282608695652176,0.8366357804704165,0.44148701406687546,-35.152173913043484,6.275174350149449,0.0,0.9123859512644751
India,Madhya Pradesh,7,Jabalpur,2003,1534.35,30.310497237569063,65.2,30.9,36.10491803278688,0.8538006838582817,8.519148936170218,1385.92,1353.9933333333333,198.25747510077147,0.8304372903099768,2.747826086956522,4.617391304347823,0.744832501781886,0.8304372903099797,2.747826086956521,5.794420795217814,0.4667673716012084,2.151069886379707
India,Madhya Pradesh,7,Jabalpur,2004,1480.92,30.557692307692307,19.7,2.2,37.59508196721311,1.1009957539815254,-36.98085106382979,1141.71,1385.6599999999999,212.94927353714942,1.0776323604332205,-42.75217391304348,-24.082608695652176,2.234996436208121,1.0776323604332234,-42.752173913043485,7.037389659520805,0.10628019323671499,0.6446821689594255
